종목코드,조회코드,종목명,영문명,시장구분,통화,현재가,등락률,시가총액,거래량,배당수익률,업종_소분류,상장폐지여부,국가,기준연도,결산월,매출액_전기,매출액_원화_전기,매출액_전전기,매출액_원화_전전기,매출액,매출액_원화,PER_전기,PER_전전기,PER,PBR_전기,PBR_전전기,PBR,EBITDA_전기,EBITDA_원화_전기,EBITDA_전전기,EBITDA_원화_전전기,EBITDA,EBITDA_원화,영업이익_전기,영업이익_원화_전기,영업이익_전전기,영업이익_원화_전전기,영업이익,영업이익_원화,당기순이익_전기,당기순이익_원화_전기,당기순이익_전전기,당기순이익_원화_전전기,당기순이익,당기순이익_원화,배당수익률_전기,배당수익률_전전기,ROA_전기,ROA_전전기,ROA,영업이익률
7203,7203.T,토요타자동차,TOYOTA MOTOR CORPORATION,도쿄,JPY,3081.0,-1.15,44967156364260.0,21768900.0,3.21,자동차 및 트럭 제조,True,일본,2026.0,3.31,48036700000000.0,414196446000000.0,45095320000000.0,388834397000000.0,50684950000000.0,437030981000000.0,8.34,7.6,10.55,1.09,1.09,1.02,7309725000000.0,63028104000000.0,7722385000000.0,66586265000000.0,6533583000000.0,56335818999999.99,4795586000000.0,41349940000000.0,5352934000000.0,46155673000000.0,3766216000000.0,32474197000000.0,4765086000000.0,41086954000000.0,4944933000000.0,42637685000000.0,3848098000000.0,33180225000000.0,3.17,3.06,5.21,6.17,4.0,7.43
8306,8306.T,미쓰비시 UFJ 파이낸셜 그룹,Mitsubishi UFJ Financial Group  Inc.,도쿄,JPY,3785.0,0.83,44919285832200.0,53609400.0,2.56,은행,True,일본,2026.0,3.31,8467719000000.0,73012907000000.0,7468679000000.0,64398685000000.0,8723940000000.0,75222173000000.0,16.53,13.81,16.55,1.57,1.08,1.85,4554225000000.0,39268805000000.0,3844376000000.0,33148132000000.0,5603138000000.0,48313057000000.0,4139196000000.0,35690218000000.0,3482009000000.0,30023623000000.0,5150465000000.0,44409884000000.0,1862946000000.0,16063251999999.998,1490781000000.0,12854259000000.0,2427229000000.0,20928782000000.0,2.64,2.51,0.48,0.4,0.61,59.04
9984,9984.T,소프트뱅크 그룹,SoftBank Group Corp.,도쿄,JPY,5590.0,11.78,31929230990800.0,77803600.0,0.22,무선 통신 서비스,True,일본,2026.0,3.31,7243752000000.0,62459252000000.0,6756500000000.0,58257921000000.0,7798650000000.0,67243860000000.0,11.5,44.25,6.11,3.05,0.97,1.67,1593426000000.0,13739316000000.0,1412948000000.0,12183144000000.0,910703000000.0,7852537000000.0,729794000000.0,6292649000000.0,560009000000.0,4828678000000.0,-4789000000.0,-41293000000.0,1134510000000.0,9782312000000.0,-250495000000.0,-2159893000000.0,4983632000000.0,42971367000000.0,0.18,0.59,3.49,0.46,10.65,-0.06
285A,285A.T,키옥시아 홀딩스,Kioxia Holdings Corporation,도쿄,JPY,54460.0,5.4,29868696682440.0,30527100.0,0.0,반도체,True,일본,2026.0,3.31,1706460000000.0,14713951000000.0,1076584000000.0,9282846000000.0,2337628000000.0,20156197000000.0,71.82,,47.58,44.88,7.37,18.7,754477000000.0,6505478000000.0,86839000000.0,748769000000.0,1181839000000.0,10190407000000.0,442170000000.0,3812611000000.0,-259229000000.0,-2235202000000.0,869013000000.0,7493064999999.999,272315000000.0,2348036000000.0,-243728000000.0,-2101545000000.0,554490000000.0,4781090000000.0,,,9.42,-8.35,16.78,37.17
8316,8316.T,스미토모 미쓰이 파이낸셜그룹,Sumitomo Mitsui Financial Group  Inc.,도쿄,JPY,7083.0,-0.08,26923367617119.0,14975900.0,2.54,은행,True,일본,2026.0,3.31,6928577000000.0,59741655000000.01,6213520000000.0,53576076000000.0,7224758000000.0,62295476000000.0,17.7,12.52,16.13,1.46,0.92,1.67,3525434000000.0,30398055000000.0,3161188000000.0,27257344000000.0,4004019000000.0,34524654000000.0,3244654000000.0,27977029000000.0,2868119000000.0,24730356000000.0,3712935000000.0,32014782000000.0,1177996000000.0,10157271000000.0,962946000000.0,8303002000000.0,1582973000000.0,13649185000000.0,2.52,3.06,0.39,0.34,0.5,51.39
8035,8035.T,도쿄일렉트론,Tokyo Electron Limited,도쿄,JPY,53320.0,0.04,24955505323560.0,2599600.0,1.49,반도체 장비 및 테스트,True,일본,2026.0,3.31,2431568000000.0,20966195000000.0,1830527000000.0,15783719000000.0,2443533000000.0,21069363000000.0,38.79,27.8,45.07,11.32,5.59,12.36,759584000000.0,6549513000000.0,508675000000.0,4386050000000.0,706281000000.0,6089908000000.0,697319000000.0,6012633000000.0,456263000000.0,3934128000000.0,624936000000.0,5388511000000.0,544133000000.0,4691787000000.0,363963000000.0,3138271000000.0,574454000000.0,4953230000000.0,1.29,2.4,21.41,15.27,20.94,25.58
6501,6501.T,히타치,Hitachi  Ltd.,도쿄,JPY,5377.0,0.47,24387711416345.0,8019400.0,1.1,소비재 대기업,True,일본,2026.0,3.31,9783370000000.0,84357108000000.0,9728716000000.0,83885854000000.0,10586780000000.0,91284511000000.0,36.88,32.23,30.31,4.09,3.04,3.8,1402013000000.0,12088857000000.0,1205438000000.0,10393889000000.0,1655952000000.0,14278446000000.0,971606000000.0,8377673000000.0,755816000000.0,6517023000000.0,1199275000000.0,10340749000000.0,615724000000.0,5309080000000.0,589896000000.0,5086378000000.0,802368000000.0,6918417999999.999,0.86,1.1,5.15,5.07,6.01,11.33
6857,6857.T,어드반테스트,ADVANTEST CORPORATION,도쿄,JPY,33090.0,2.51,24221880000000.0,7464900.0,0.22,반도체 장비 및 테스트,True,일본,2026.0,3.31,779707000000.0,6723024000000.001,486507000000.0,4194907000000.0,1128610000000.0,9731440000000.0,123.3,60.66,71.45,42.64,9.39,32.16,276629000000.0,2385234000000.0,113550000000.0,979085000000.0,522228000000.0,4502911000000.0,249554000000.0,2151779000000.0,87447000000.0,754012000000.0,496616000000.0,4282071000000.0,161177000000.0,1389749000000.0,62290000000.0,537096000000.0,375353000000.0,3236481000000.0,0.17,0.67,21.13,9.8,37.05,44.0
6098,6098.T,리쿠르트 홀딩스,Recruit Holdings Co Ltd,도쿄,JPY,16235.0,-1.22,23906104859015.0,6130000.0,0.16,고용 서비스,True,일본,2026.0,3.31,3557478000000.0,30674354000000.0,3416492000000.0,29458702000000.0,3697351000000.0,31880409000000.004,27.36,33.4,48.0,7.09,6.37,15.7,634420000000.0,5470286000000.0,565998000000.0,4880318000000.0,737644000000.0,6360335000000.0,525184000000.0,4528399000000.0,448517000000.0,3867338000000.0,630567000000.0,5437064000000.0,408504000000.0,3522326000000.0,353654000000.0,3049382000000.0,496912000000.0,4284624000000.0,0.31,0.28,13.8,11.94,17.86,17.05
6758,6758.T,소니 그룹,Sony Group Corporation,도쿄,JPY,3885.0,-0.26,23175253926510.0,12054400.0,0.9,가정용 전자 제품,True,일본,2026.0,3.31,12957060000000.0,111722250000000.0,13020770000000.0,112271588999999.98,12479620000000.0,107605523000000.0,16.7,24.83,20.78,2.3,2.88,2.86,2563614000000.0,22104762000000.0,2308314000000.0,19903437000000.0,2692356000000.0,23214840000000.0,1412640000000.0,12180488000000.0,1166986000000.0,10062337000000.0,1511701000000.0,13034642000000.0,1141600000000.0,9843446000000.0,970573000000.0,8368766000000.0,1030893000000.0,8888875000000.0,0.72,0.53,3.34,3.0,4.14,12.11
9983,9983.T,패스트리테일링,FAST RETAILING CO.  LTD.,도쿄,JPY,69100.0,1.62,21989068888800.0,1153800.0,0.94,의류 및 액세서리 소매,True,일본,2025.0,8.31,3103836000000.0,26762826000000.0,2766557000000.0,23854638000000.0,3400539000000.0,29321148000000.0,37.28,50.43,50.4,6.92,8.29,9.62,702781000000.0,6059729000000.0,575881000000.0,4965534000000.0,776170000000.0,6692525999999.999,496345000000.0,4279735000000.0,384296000000.0,3313592000000.0,558511000000.0,4815761000000.0,371999000000.0,3207561000000.0,296229000000.0,2554235000000.0,433009000000.0,3733620000000.0,1.02,0.69,11.42,9.72,12.33,16.42
8411,8411.T,미즈호 파이낸셜그룹,Mizuho Financial Group  Inc.,도쿄,JPY,8774.0,0.49,21433407915356.0,9815900.0,1.72,은행,True,일본,2026.0,3.31,6000202000000.0,51736742000000.0,5772536000000.0,49773692000000.0,5851595000000.0,50455378000000.0,19.94,14.2,17.27,1.66,0.91,1.83,2358321000000.0,20334623000000.0,2022219000000.0,17436582999999.998,2830306000000.0,24404313000000.0,2152399000000.0,18559060000000.0,1844026000000.0,15900114000000.002,2589008000000.0,22323721000000.0,885433000000.0,7634646000000.001,678993000000.0,5854617000000.0,1248632000000.0,10766329000000.0,2.13,3.27,0.32,0.26,0.43,44.24
6861,6861.T,키엔스,KEYENCE CORPORATION,도쿄,JPY,77720.0,-0.33,18902101200480.0,663200.0,0.71,전자 장비 및 부품,True,일본,2026.0,3.2,1059145000000.0,9132478000000.0,967288000000.0,8340441000000.0,1169289000000.0,10082194000000.0,38.21,38.15,45.19,4.9,5.03,5.8,564968000000.0,4871437000000.0,508781000000.0,4386964000000.0,612986000000.0,5285472000000.0,549775000000.0,4740435000000.0,495014000000.0,4268258000000.0,595759000000.0,5136932000000.0,398656000000.0,3437411000000.0,369642000000.0,3187238000000.0,445185000000.0,3838608000000.0,0.72,0.56,12.75,13.17,12.79,50.95
8058,8058.T,미쓰비시상사,Mitsubishi Corporation,도쿄,JPY,4902.0,-3.1,18189011893284.0,12672100.0,2.47,다각적 산업용 제품 도매,True,일본,2026.0,3.31,18617600000000.0,160530256000000.0,19567600000000.0,168721631000000.0,18916000000000.0,163103210000000.0,22.9,12.32,23.52,2.1,1.21,1.86,813263000000.0,7012360000000.001,1161611000000.0,10015991000000.0,852538000000.0,7351009000000.0,462867000000.0,3991071000000.0,571085000000.0,4924180000000.0,454761000000.0,3921177000000.0,950709000000.0,8197488000000.0,964034000000.0,8312383000000.0,800460000000.0,6901966000000.0,2.12,3.17,4.79,4.49,4.02,2.4
8001,8001.T,이토추상사,ITOCHU Corporation,도쿄,JPY,2204.0,-0.36,17465482334080.0,18736400.0,1.99,다각적 산업용 제품 도매,True,일본,2026.0,3.31,14724230000000.0,126959673000000.0,14029910000000.0,120972899000000.0,14823090000000.0,127812094000000.0,15.78,12.79,16.17,2.45,1.89,2.24,1143666000000.0,9861260000000.0,1114623000000.0,9610837000000.0,1184850000000.0,10216369000000.0,714340000000.0,6159397000000.0,715815000000.0,6172115000000.0,726154000000.0,6261263000000.0,880251000000.0,7589964000000.0,801770000000.0,6913262000000.0,900283000000.0,7762689999999.999,2.11,2.53,6.3,6.17,5.88,4.9
9432,9432.T,NTT,NTT  Inc.,도쿄,JPY,172.6,-0.35,15628984610640.0,173891200.0,3.12,통합 통신 서비스,True,일본,2026.0,3.31,13704730000000.0,118169034000000.02,13374570000000.0,115322230000000.0,14409120000000.0,124242637000000.02,11.57,9.35,11.81,1.23,1.29,1.41,3515263000000.0,30310355000000.0,3688858000000.0,31807178000000.004,3697175000000.0,31878891000000.0,1818670000000.0,15681482000000.0,2082615000000.0,17957348000000.0,1906192000000.0,16436141000000.0,1000016000000.0,8622638000000.0,1279521000000.0,11032670000000.0,1037032000000.0,8941808000000.0,3.45,3.44,3.63,4.9,2.82,13.23
8766,8766.T,도쿄마린홀딩스,Tokio Marine Holdings  Inc.,도쿄,JPY,7976.0,0.23,15425584000000.0,5803200.0,3.08,손해보험,True,일본,2026.0,3.31,7892261000000.0,68051019999999.99,7153282000000.0,61679174000000.0,8305572000000.0,71614795000000.0,12.8,14.72,13.55,2.87,2.25,2.67,1721980000000.0,14847773000000.002,1079098000000.0,9304523000000.0,1622183000000.0,13987273000000.002,1486929000000.0,12821045000000.0,868585000000.0,7489374000000.001,1371337000000.0,11824353000000.0,1055276000000.0,9099117000000.0,695808000000.0,5999604000000.0,980428000000.0,8453739999999.999,2.6,2.43,3.41,2.32,3.13,16.51
8031,8031.T,미쓰이물산,MITSUI & CO.  LTD.,도쿄,JPY,5019.0,-4.45,14377761544944.0,11348300.0,2.67,다각적 산업용 제품 도매,True,일본,2026.0,3.31,14662620000000.0,126428440999999.98,13324940000000.0,114894295000000.0,13995220000000.0,120673784000000.02,20.13,7.64,17.48,2.33,1.12,1.61,749995000000.0,6466832000000.0,851317000000.0,7340481000000.0,814089000000.0,7019482000000.001,442469000000.0,3815189000000.0,565693000000.0,4877688000000.0,485605000000.0,4187129000000.0,900342000000.0,7763199000000.001,1063684000000.0,9171615000000.0,833971000000.0,7190914999999.999,1.88,3.28,5.47,6.69,4.59,3.47
6981,6981.T,무라타제작소,Murata Manufacturing Co.  Ltd.,도쿄,JPY,7191.0,4.2,14115946253013.0,19759800.0,1.01,전자 장비 및 부품,True,일본,2026.0,3.31,1743352000000.0,15032053000000.0,1640158000000.0,14142262000000.0,1830856000000.0,15786556000000.0,36.61,19.19,49.87,3.56,1.64,4.95,474378000000.0,4090324000000.0,440818000000.0,3800953000000.0,509567000000.0,4393741000000.001,301785000000.0,2602141000000.0,264993000000.0,2284902000000.0,332249000000.0,2864817000000.0,233764000000.0,2015630000000.0,180835000000.0,1559250000000.0,233829000000.0,2016191000000.0,1.22,2.43,7.68,6.12,7.51,18.15
2914,2914.T,재팬토바코,JAPAN TOBACCO INC.,도쿄,JPY,6803.0,-2.09,13606000000000.0,5485700.0,3.91,담배,True,일본,2025.0,12.31,3149759000000.0,27158797000000.0,2841077000000.0,24497186000000.0,3467675000000.0,29900028000000.004,55.91,14.38,25.69,2.85,1.82,3.02,533447000000.0,4599647000000.0,847411000000.0,7306800999999.999,1023273000000.0,8823171000000.0,326681000000.0,2816807000000.0,666406000000.0,5746086000000.0,827462000000.0,7134791000000.0,179240000000.0,1545497000000.0,482288000000.0,4158528000000.0,498036000000.0,4294315000000.0,3.33,5.02,2.33,7.02,5.97,23.86
7011,7011.T,미쓰비시중공업,Mitsubishi Heavy Industries  Ltd.,도쿄,JPY,3754.0,-1.08,12664673878740.0,15016100.0,0.76,소비재 대기업,True,일본,2026.0,3.31,5027176000000.0,43346825000000.0,4657147000000.0,40156250000000.0,4974168000000.0,42889764000000.0,74.51,45.8,35.75,6.45,4.18,4.38,472477000000.0,4073933000000.0,397140000000.0,3424340000000.0,657311000000.0,5667664000000.0,314289000000.0,2709957000000.0,247016000000.0,2129895000000.0,446097000000.0,3846471000000.0,245447000000.0,2116367000000.0,222023000000.0,1914393000000.0,344574000000.0,2971089000000.0,0.53,0.82,4.06,4.15,4.8,8.97
7182,7182.T,유초은행,Japan Post Bank Co Ltd,도쿄,JPY,3377.0,-1.17,12075742437440.0,8978400.0,2.72,은행,True,일본,2026.0,3.31,1750168000000.0,15090824000000.0,1397149000000.0,12046917000000.0,2270832000000.0,19580249000000.0,23.76,14.89,22.65,1.08,0.55,1.29,1006751000000.0,8680710000000.001,902853000000.0,7784850000000.0,1181928000000.0,10191174000000.0,961007000000.0,8286283000000.0,860169000000.0,7416807000000.001,1130338000000.0,9746339000000.0,414324000000.0,3572508999999.9995,356133000000.0,3070757000000.0,525583000000.0,4531839000000.0,2.13,3.46,0.18,0.15,0.23,49.78
9433,9433.T,KDDI,KDDI CORPORATION,도쿄,JPY,2981.0,-0.02,11946211332627.0,7453100.0,2.82,무선 통신 서비스,True,일본,2026.0,3.31,5917953000000.0,51027550000000.0,5754047000000.0,49614270000000.0,6071915000000.0,52355087000000.0,14.95,18.35,16.47,1.96,2.11,2.19,1777716000000.0,15328356000000.0,1621255000000.0,13979271000000.0,1737794000000.0,14984129000000.0,1090928000000.0,9406527000000.0,933906000000.0,8052603999999.999,1049523000000.0,9049512000000.0,685677000000.0,5912250000000.0,637874000000.0,5500069000000.0,707112000000.0,6097073000000.0,3.07,2.63,4.94,5.03,4.34,17.28
9434,9434.T,소프트뱅크,SoftBank Corp.,도쿄,JPY,239.2,0.67,11488508741840.0,59202600.0,3.7,무선 통신 서비스,True,일본,2026.0,3.31,6544349000000.0,56428649000000.0,6084002000000.0,52459306999999.99,7038680000000.0,60691018000000.01,20.95,22.58,21.88,4.33,4.56,4.31,1706481000000.0,14714132000000.0,1609241000000.0,13875681000000.0,1776240000000.0,15315629000000.0,959643000000.0,8274522000000.0,861010000000.0,7424059000000.0,990962000000.0,8544570000000.0,519977000000.0,4483502000000.0,487828000000.0,4206297000000.0,541359000000.0,4667868000000.0,3.9,3.93,4.14,3.91,4.2,14.08
4063,4063.T,신에츠화학,Shin-Etsu Chemical Co.  Ltd.,도쿄,JPY,5786.0,-1.25,11485186074890.0,6593000.0,1.98,다각적 화학 산업,True,일본,2026.0,3.31,2561249000000.0,22084370000000.0,2414937000000.0,20822794000000.0,2573969000000.0,22194048000000.0,24.83,14.41,23.27,2.85,1.78,2.5,980462000000.0,8454034000000.0,928657000000.0,8007345000000.0,878177000000.0,7572081000000.0,742105000000.0,6398800000000.0,701038000000.0,6044700000000.0,635204000000.0,5477046000000.0,534021000000.0,4604596000000.0,520140000000.0,4484907000000.0,474459000000.0,4091023000000.001,1.57,2.71,10.76,11.44,8.96,24.68
4519,4519.T,주가이제약,Chugai Pharmaceutical Co Ltd,도쿄,JPY,6795.0,-1.21,11409196847265.0,1920500.0,1.92,제약,True,일본,2025.0,12.31,1170611000000.0,10093593000000.0,1111367000000.0,9582762000000.0,1257941000000.0,10846596000000.0,36.68,32.32,26.09,7.57,6.58,5.71,579466000000.0,4996446000000.0,476672000000.0,4110104000000.0,643922000000.0,5552217000000.0,547800000000.0,4723406000000.0,444932000000.0,3836426000000.0,611387000000.0,5271684000000.0,387317000000.0,3339641000000.0005,325472000000.0,2806382000000.0,434012000000.0,3742268000000.0,1.22,1.25,18.71,17.12,18.56,48.6
7974,7974.T,닌텐도,Nintendo Co.  Ltd.,도쿄,JPY,8839.0,-0.18,11378091140000.0,5577200.0,1.83,장난감 및 어린이 제품,True,일본,2026.0,3.31,1164922000000.0,10044540000000.0,1671865000000.0,14415656000000.0,2313051000000.0,19944282000000.0,31.72,29.32,24.39,3.25,5.53,3.51,297914000000.0,2568763000000.0,546797000000.0,4714757000000.0,375971000000.0,3241810000000.0,282553000000.0,2436313000000.0,528941000000.0,4560794000000.0,360117000000.0,3105109000000.0,278806000000.0,2404005000000.0,490602000000.0,4230216000000.001,424056000000.0,3656423000000.001,1.67,1.34,8.51,16.34,11.77,15.57
6503,6503.T,미쓰비시전기,Mitsubishi Electric Corporation,도쿄,JPY,5248.0,-1.17,11090081739648.0,7714900.0,1.13,소비재 대기업,True,일본,2026.0,3.31,5521711000000.0,47610953000000.0,5257914000000.0,45336363000000.0,5894747000000.0,50827456000000.0,39.98,20.48,30.19,3.15,1.48,2.58,598503000000.0,5160592000000.0,512441000000.0,4418523000000.0,638948000000.0,5509329000000.0,377075000000.0,3251329000000.0,311612000000.0,2686874000000.0,405164000000.0,3493526999999.9995,324084000000.0,2794414000000.0,284949000000.0,2456973000000.0,407758000000.0,3515893000000.0,0.92,1.89,5.53,5.05,6.32,6.87
6752,6752.T,파나소닉 홀딩스,Panasonic Holdings Corporation,도쿄,JPY,4163.0,-0.81,10219073032611.0,6123800.0,1.29,가정용 전자 제품,True,일본,2026.0,3.31,8458185000000.0,72930700000000.0,8496420000000.0,73260381000000.0,8048722000000.0,69400105000000.01,18.43,8.5,24.97,1.65,0.87,1.98,880924000000.0,7595767000000.0,786812000000.0,6784286000000.0,895178000000.0,7718672000000.0,475195000000.0,4097369000000.0,386828000000.0,3335424000000.0,490836000000.0,4232233000000.0,366193000000.0,3157499000000.0,443978000000.0,3828200000000.0,189540000000.0,1634309000000.0,1.45,2.22,4.1,5.33,2.14,6.1
4502,4502.T,다케다 제약,Takeda Pharmaceutical Company Limited,도쿄,JPY,5753.0,-2.62,9216920184527.0,5384700.0,3.45,제약,True,일본,2026.0,3.31,4581551000000.0,39504423000000.0,4263762000000.0,36764288000000.0,4505720000000.0,38850571000000.0,35.78,26.38,57.19,1.18,0.95,1.23,1317283000000.0,11358273000000.0,1155794000000.0,9965834000000.0,1383767000000.0,11931531000000.0,554704000000.0,4782935000000.0,430787000000.0,3714461000000.0,663451000000.0,5720606000000.0,107928000000.0,930609000000.0,144067000000.0,1242218000000.0,191762000000.0,1653468000000.0,3.8,4.34,0.74,0.99,1.29,14.72
5803,5803.T,후지쿠라,Fujikura Ltd.,도쿄,JPY,5053.0,2.06,8969987197878.0,34565900.0,0.77,전기 부품 및 장비,True,일본,2026.0,3.31,979375000000.0,8444661000000.0,799760000000.0,6895931000000.0,1182358000000.0,10194882000000.0,102.17,28.79,56.44,26.74,4.85,15.78,158435000000.0,1366106000000.0,93642000000.0,807428000000.0,215260000000.0,1856079000000.0,135519000000.0,1168513000000.0,69483000000.0,599117000000.0,188707000000.0,1627126000000.0,91123000000.0,785708000000.0,51011000000.0,439842000000.0,157163000000.0,1355138000000.0,0.41,1.1,12.16,7.69,18.01,15.96
8053,8053.T,스미토모상사,SUMITOMO CORPORATION,도쿄,JPY,1820.0,-1.19,8700438539520.0,14980400.0,2.17,다각적 산업용 제품 도매,True,일본,2026.0,3.31,7292084000000.0,62875993999999.99,6910302000000.0,59584079000000.0,7337259000000.0,63265516000000.0,11.95,10.14,14.04,1.5,0.95,1.83,625851000000.0,5396400000000.0,578145000000.0,4985055000000.0,623223000000.0,5373740000000.0,421311000000.0,3632754000000.0,391888000000.0,3379054000000.0,395600000000.0,3411061000000.0,561504000000.0,4841568000000.0,386144000000.0,3329526999999.9995,599847000000.0,5172181000000.0,2.34,3.69,5.37,4.03,5.15,5.39
8002,8002.T,마루베니,Marubeni Corporation,도쿄,JPY,5073.0,-2.46,8425027165353.0,4957100.0,2.21,다각적 산업용 제품 도매,True,일본,2026.0,3.31,7790168000000.0,67170724000000.0,7250515000000.0,62517566000000.0,8265841000000.0,71272214000000.0,19.85,8.55,17.2,2.71,1.21,1.84,586503000000.0,5057122000000.0,486164000000.0,4191949000000.0,487618000000.0,4204486000000.0,389421000000.0,3357783000000.0,310685000000.0,2678881000000.0,278558000000.0,2401866000000.0,502965000000.0,4336816000000.001,470460000000.0,4056541000000.001,543852000000.0,4689364000000.0,1.68,3.55,5.68,5.72,5.67,3.37
7741,7741.T,호야,HOYA CORPORATION,도쿄,JPY,24140.0,-1.31,8082989802800.0,985000.0,1.31,"의료 장비, 물품 및 유통",True,일본,2026.0,3.31,866032000000.0,7467361000000.0,762610000000.0,6575605000000.0,947749000000.0,8171966000000.0,47.98,32.11,33.22,10.06,5.99,8.02,300082000000.0,2587457000000.0,258581000000.0,2229615000000.0,339644000000.0,2928580000000.0,251505000000.0,2168602000000.0,211365000000.0,1822495000000.0,281426000000.0,2426596000000.0,202101000000.0,1742616000000.0,181377000000.0,1563923000000.0,253085000000.0,2182225000000.0,0.84,0.66,16.55,16.36,19.84,29.69
8725,8725.T,MS&AD 인슈어런스 그룹 홀딩스,MS&AD Insurance Group Holdings  Inc.,도쿄,JPY,5240.0,0.56,7820971075680.0,4169600.0,3.26,손해보험,True,일본,2026.0,3.31,6378537000000.0,54998935000000.0,6338603000000.0,54654604000000.0,7245525000000.0,62474539000000.0,9.4,15.37,8.92,1.66,1.2,1.56,1062690000000.0,9163045000000.0,547913000000.0,4724380000000.0,1251487000000.0,10790947000000.0,940773000000.0,8111814999999.999,426894000000.0,3680894000000.0,1135769000000.0,9793168000000.0,691657000000.0,5963812000000.0,369266000000.0,3183996000000.0,787339000000.0,6788831000000.0,2.51,2.96,2.62,1.45,2.86,15.68
7267,7267.T,혼다자동차,HONDA MOTOR CO.  LTD.,도쿄,JPY,1696.5,-1.25,7690234500000.0,16244700.0,4.07,자동차 및 트럭 제조,True,일본,2026.0,3.31,21688770000000.0,187011419000000.0,20428800000000.0,176147328000000.0,21796610000000.0,187941270000000.0,6.95,6.56,,0.45,0.56,0.56,2826291000000.0,24369694000000.0,2961463000000.0,25535215000000.0,888917000000.0,7664687000000.0,1213486000000.0,10463283000000.0,1381977000000.0,11916097000000.0,-414346000000.0,-3572698000000.0005,835837000000.0,7207005000000.0,1107174000000.0,9546608000000.0,-423941000000.0,-3655431000000.0,5.44,4.92,2.98,4.34,-1.1,-1.9
8015,8015.T,도요타쯔우쇼,TOYOTA TSUSHO CORPORATION,도쿄,JPY,7588.0,-1.11,7163634392208.0,2030400.0,1.63,다각적 산업용 제품 도매,True,일본,2026.0,3.31,10309550000000.0,88894095000000.0,10188980000000.0,87854480000000.0,11561940000000.0,99692828000000.0,17.73,8.08,21.42,2.46,1.1,2.54,662134000000.0,5709250000000.0,610047000000.0,5260130000000.0,728069000000.0,6277775000000.0,510424000000.0,4401131000000.0,470293000000.0,4055101000000.0,550960000000.0,4750653000000.0,362506000000.0,3125708000000.0,331444000000.0,2857876000000.0,370516000000.0,3194774000000.0,1.85,3.95,5.5,5.06,5.12,4.77
6178,6178.T,일본우정,Japan Post Holdings Co Ltd,도쿄,JPY,2512.5,-1.55,7055588932500.0,7210100.0,2.35,생명 및 건강 보험,True,일본,2026.0,3.31,11468370000000.0,98886020000000.0,11982150000000.0,103316088000000.0,11440590000000.0,98646487000000.0,17.1,17.97,23.7,0.61,0.43,0.7,1074090000000.0,9261341000000.0,913248000000.0,7874481000000.0,1350968000000.0,11648722000000.0,814597000000.0,7023863000000.0,668317000000.0,5762563000000.0,1074966000000.0,9268894000000.0,370564000000.0,3195188000000.0,268685000000.0,2316736000000.0,374556000000.0,3229609000000.0,2.69,3.59,0.2,0.15,0.25,9.4
8591,8591.T,오릭스,ORIX CORPORATION,도쿄,JPY,6242.0,-1.72,7016673547008.0,3774400.0,2.95,다각적 투자 서비스,True,일본,2026.0,3.31,2874821000000.0,24788144000000.0,2814361000000.0,24266828000000.0,3330831000000.0,28720090000000.004,15.78,9.34,14.66,1.47,0.85,1.53,636536000000.0,5488532000000.0,655434000000.0,5651480000000.0,793293000000.0,6840169000000.0,543621000000.0,4687372000000.0,571350000000.0,4926465000000.0,700913000000.0,6043622000000.0,351595000000.0,3031628000000.0,346125000000.0,2984463000000.0,447169000000.0,3855715000000.0,2.87,4.04,2.12,2.14,2.63,21.04
6301,6301.T,코마츠,KOMATSU LTD.,도쿄,JPY,7493.0,-0.27,6971042265660.0,2528300.0,2.53,중장비 및 차량,True,일본,2026.0,3.31,4104395000000.0,35390146000000.0,3865122000000.0,33327014000000.0,4132751000000.0,35634645000000.0,14.42,9.57,18.08,2.01,1.26,1.93,822997000000.0,7096292000000.0,767509000000.0,6617846000000.001,730767000000.0,6301038000000.0,663482000000.0,5720874000000.0,613728000000.0,5291870000000.0,572131000000.0,4933200000000.0,439614000000.0,3790572000000.0,393426000000.0,3392316000000.0005,376391000000.0,3245431000000.0,2.92,4.41,8.05,7.76,6.42,13.84
8750,8750.T,다이이치 라이프 그룹,Daiichi Life Group  Inc.,도쿄,JPY,1877.5,-0.32,6801502880673.0,10026400.0,3.82,생명 및 건강 보험,True,일본,2026.0,3.31,9122045000000.0,78654833000000.0,10478010000000.0,90346641000000.0,10514640000000.0,90662483000000.0,10.7,11.9,13.9,1.53,1.04,1.56,885905000000.0,7638716000000.0,663693000000.0,5722693000000.0,946695000000.0,8162878000000.0,768385000000.0,6625400000000.0,578681000000.0,4989677000000.0,815935000000.0,7035400000000.0,429613000000.0,3704338000000.0,320765000000.0,2765796000000.0,436597000000.0,3764558000000.0,2.99,4.08,0.63,0.5,0.61,7.76
